Launch,Category,Country,IOT,Phase
X9,Run,B1,A4,Completed
X15,Run,B1,A4,Descoped
X3,Run,B2,A1,Descoped
X2,Run,B2,A1,Completed
X4,Run,B2,A1,Descoped
X1,Run,B2,A1,Completed
X7,Re-run,B2,A1,Descoped
X9,Re-run,B2,A1,Descoped
X14,Re-run,B2,A1,Completed
X4,Run,B2,A1,Completed
X24,Re-run,B2,A1,Completed
X1,Run,B2,A1,Completed
X4,Re-run,B2,A1,Descoped
X7,Re-run,B2,A1,Completed
X13,Re-run,B2,A1,Completed
X17,Re-run,B2,A1,Completed
X24,Re-run,B2,A1,Completed
X11,Run,B3,A2,Completed
X2,Run,B4,A4,Completed
X8,Re-run,B4,A4,Completed
X3,Run,B4,A4,Completed
X2,Run,B4,A4,Completed
X6,Re-run,B4,A4,Completed
X15,Run,B4,A4,Descoped
X2,Run,B4,A4,Completed
X6,Re-run,B4,A4,Descoped
X8,Re-run,B4,A4,Completed
X3,Run,B4,A4,Completed
X6,Run,B4,A4,Completed
X6,Run,B4,A4,Completed
X2,Run,B4,A4,Completed
X6,Re-run,B4,A4,Descoped
X11,Re-run,B4,A4,Descoped
X12,Re-run,B4,A4,Descoped
X2,Run,B4,A4,Completed
X6,Re-run,B4,A4,Completed
X20,Re-run,B4,A4,Descoped
X24,Re-run,B4,A4,Descoped
X3,Run,B4,A4,Completed
X4,Run,B4,A4,Completed
X9,Re-run,B4,A4,Completed
X15,Re-run,B4,A4,Completed
X21,Re-run,B4,A4,Completed
X3,Run,B4,A4,Completed
X2,Run,B4,A4,Descoped
X4,Run,B4,A4,Completed
X4,Run,B4,A4,Completed
X2,Run,B4,A4,Completed
X6,Re-run,B4,A4,Descoped
X12,Re-run,B4,A4,Completed
X16,Re-run,B4,A4,Completed
X19,Re-run,B4,A4,Descoped
X3,Run,B4,A4,Descoped
X24,Run,B4,A4,Descoped
X3,Run,B5,A6,Completed
X9,Run,B5,A6,Completed
X10,Run,B5,A6,Completed
X3,Run,B5,A6,Completed
X9,Re-run,B5,A6,Completed
X22,Re-run,B5,A6,Completed
X7,Run,B5,A6,Descoped
X24,Run,B5,A6,Completed
X14,Run,B5,A6,Completed
X20,Re-run,B5,A6,Completed
X27,Re-run,B5,A6,Data Validation
X2,Run,B5,A6,Descoped
X11,Run,B5,A6,Completed
X8,Run,B5,A6,Completed
X17,Run,B5,A6,Completed
X10,Run,B5,A6,Completed
X27,Re-run,B5,A6,Data Collection
X8,Run,B5,A6,Completed
X10,CB L7,B5,A6,Descoped
X12,CB L7,B5,A6,Descoped
X15,Re-run,B5,A6,Completed
X25,Re-run,B5,A6,Completed
X5,Run,B5,A6,Completed
X9,Re-run,B5,A6,Completed
X16,Re-run,B5,A6,Completed
X20,Re-run,B5,A6,Completed
X24,Re-run,B5,A6,Model Run
X7,Run,B5,A6,Completed
X1,Run,B5,A6,Completed
X7,Re-run,B5,A6,Completed
X17,Run,B5,A6,Completed
X13,Run,B5,A6,Descoped
X13,Run,B6,A4,Completed
X7,Run,B6,A4,Descoped
X11,Run,B6,A4,Completed
X14,Re-run,B6,A4,Completed
X21,Re-run,B6,A4,Completed
X13,Run,B6,A4,Completed
X13,Run,B6,A4,Descoped
X2,Run,B7,A3,Descoped Def
X11,Run,B8,A4,Completed
X7,Run,B9,A2,Descoped
X1,Run,B10,A2,Completed
X14,Re-run,B10,A2,Completed
X21,Re-run,B10,A2,Completed
X18,Run,B10,A2,Completed
